When was Shakespeare baptized?	April 26, 1564
"Who said, ""his story requires Romans and kings but he thinks only of men"" in ""Preface to Shakespeare""?"	Dr. Johnson
"Who wrote ""Dark Lady of The Sonnets: A One Act Play""?"	G.B. Shaw
"Which writer rewrote ""The Tempest"" as ""Une Tempéte"" and ""A Tempest""?"	Aime Cesaire
"In ""Grain of Wheat,"" who examines Prospero’s colonizing methods?"	Ngugi wa Thiong'o
"Who described Puck as ""the jester of fairyland"" in ""Shakespeare Primer""?"	Edward Dowden
In which play does Portia disguise herself as a lawyer?	The Merchant of Venice
"Who disguises herself as Ganymede in ""As You Like It""?"	Rosalind
"Which character crossdresses as Cesario in ""Twelfth Night""?"	Viola
"In ""The Two Gentlemen of Verona,"" who disguises herself as a boy?"	Julia
"In ""Cymbeline,"" what name does Imogen take when she disguises herself as a shepherd?"	Fidele
"What is the name of the play within the play in ""Hamlet""?"	The Mousetrap
"Which play features ""Pyramus and Thisbe"" as a play within a play?"	A Midsummer Night's Dream
"In ""Love's Labour's Lost,"" what is the title of the play within the play?"	The Pageant of the Nine Worthies
Which Shakespeare play starts with a framing device known as ‘induction’?	The Taming of the Shrew
"What is the TV show based on ""The Taming of the Shrew"" called?"	Ten Things I Hate About You
Which of the following is considered part of Shakespeare's Apocrypha?	A Funeral Elegy
"Which work attributed to Shakespeare is a poem addressed ""To the Queen""?"	To the Queen
"Which apocryphal work is a narrative poem titled ""A Lover's Complaint""?"	A Lover's Complaint
Which of the following is not considered part of Shakespeare's Apocrypha?	A Midsummer Night's Dream
"Which apocryphal work is a ballad titled ""Shall I die""?"	Shall I die
"What type of writing are the ""Epitaphs"" attributed to Shakespeare?"	Poems
Which play by Shakespeare includes a character disguised as a lawyer?	The Merchant of Venice
"Who disguises herself as a boy in ""The Two Gentlemen of Verona""?"	Julia
"Which character crossdresses as Fidele in ""Cymbeline""?"	Imogen
"In ""Hamlet,"" what other name is given to ""The Mousetrap""?"	The Murder of Gonzago
"Who is the main character in ""The Taming of the Shrew"" that watches the play within the play?"	Christopher Sly
What are Folios and Quartos named after?	The size and folding of the printer's sheet
What is the main difference between Folios and Quartos?	Folios are larger and taller, while Quartos are smaller and squarer
What does 'Folio' derive from?	Latin 'folium'
Who was the principal publisher of the First Folio (1623)?	William Isaac Jaggards
How many plays were published in the First Folio (1623)?	36
How many of the plays in the First Folio were printed for the first time?	18
Who arranged the plays into three sections for the First Folio (1623)?	Hemmings and Condell
To whom was the First Folio (1623) dedicated?	William Herbert and Philip Herbert
"Who engraved the ""Droeshout Portrait of Shakespeare""?"	Martin Droeshout
What was added to the Second Folio of 1632?	"An ""Epitaph on William Shakespeare"" by John Milton"
When was the Third Folio published?	1663
Which version of the Third Folio contained Pericles and six other ‘apocryphal plays'?	Second version (1664)
When was the Fourth Folio published?	1685
How many plays were published in quarto editions during Shakespeare's lifetime?	16
What are 'bad quartos'?	Short or corrupted texts reconstructed from memory
Which of the following is NOT considered a 'bad quarto'?	Romeo and Juliet
"Who authored ""The Shakespeare's First Folio"" (1955)?"	W. Greg
"Who wrote ""The Printing and Proofreading of the First Folio of Shakespeare"" (1996)?"	C) Hinman
"Which Folio contained an ""Epitaph on William Shakespeare"" by John Milton?"	Second Folio
What distinguished the Third Folio's second version (1664) from its first?	Addition of Pericles and six other ‘apocryphal plays'
"Who wrote the sonnet ""Shakespeare"" in 1849?"	Matthew Arnold
"Who described Shakespeare as ""a handsome, well- shaped man""?"	John Aubrey
"Who wrote ""With the same key Shakespeare unlocked his heart, once more!"" in ""Scorn Not the Sonnet""?"	William Wordsworth
"Who referred to Shakespeare as ""Our myriad- minded Shakespeare""?"	Coleridge
"Who stated, ""He is many times flat, insipid; his comic wit degenerating into clenches, his serious swelling into bombast. But he is always great""?"	John Dryden
"Who called Shakespeare ""the very Janus of poets""?"	John Dryden
"Who wrote ""In thy green lap was Nature's darling laid""?"	Thomas Gray
"Who referred to Shakespeare as an ""upstart crow""?"	Robert Greene
"Who said, ""Nothing can please many, and please long, but just representations of general nature""?"	Samuel Johnson
"Who mentioned, ""He that tries to recommend him by select quotations, will succeed like a pedant in Hierocles""?"	Samuel Johnson
"Who said, ""Love is only one of many passions; and... it has no great influence upon the sum of life""?"	Samuel Johnson
"Who claimed, ""Shakespeare has united the powers of exciting laughter and sorrow not only in one mind but in one composition""?"	Samuel Johnson
"Who compared Shakespeare's quibbles to ""luminous sweepers""?"	Samuel Johnson
"Who said, ""We fix our eyes upon his graces, and turn them from his deformities""?"	Samuel Johnson
"Who wrote about the portrait of Shakespeare in ""To the Reader""?"	Ben Jonson
"Who called Shakespeare ""Soul of the Age, The applause, delight, the wonder of our stage""?"	Ben Jonson
"Who stated ""Thou hadst small Latin, and less Greek""?"	Ben Jonson
"Who said ""He was not of an age, but for all the time!""?"	Ben Jonson
"Who referred to Shakespeare as the ""Sweet Swan of Avon""?"	Ben Jonson
"Who said ""When I read Shakespeare I am struck with wonder That such trivial people should muse and thunder In such lovely language""?"	DH Lawrence
"Who mentioned Shakespeare in the poem ""L'Allegro""?"	Milton
"Who wrote ""What needs my Shakespeare for his honoured bones, The labour of an age and piled stones""?"	Milton
"Who described Shakespeare as ""the nearest thing in incarnation to the eye of God""?"	Laurence Olivier
"Who said Shakespeare ""grew immortal in his own despite""?"	Alexander Pope
"Who described Shakespeare as one of the greatest geniuses but with ""wanted taste""?"	Horace Walpole
"Who said ""I loved the man and to honour his memory on this idolatry, as much, as any""?"	Ben Jonson
Who compared Shakespeare to Homer and Jonson to Virgil?	John Dryden
"Who called Macbeth and Coriolanus ""one of Shakespeare's most assured artistic successes""?"	TS Eliot
"Who mentioned Shakespeare as ""one name never to be mentioned without reverence""?"	Matthew Arnold
"Who said Shakespeare was ""the least of an egotist that it was possible to be""?"	William Hazlitt
Who regarded Shakespeare as the prime example of negative capability?	John Keats
"Who stated ""it is we who are Hamlet"" in Characters of Shakespeare's Plays?"	William Hazlitt
"Who said ""every single character in Shakespeare is as much an individual as those in life itself""?"	Alexander Pope
"Who called Hamlet ""Mona Lisa of literature""?"	TS Eliot
"Who said ""but the Lear of Shakespeare cannot be acted"" about King Lear?"	Charles Lamb
"Who mentioned Imogen in Cymbeline as ""perhaps the most tender and most heartless of all Shakespeare's women""?"	William Hazlitt
"Who said ""Shakespeare has only heroines and no heroes""?"	John Ruskin
"Who claimed, ""Shakespeare has no heroes, but only human beings""?"	Samuel Johnson
"Who presented characters of Shakespeare's tragedies as ""individual objects of meditation, stripped of their dramatic function""?"	Charles Lamb
"Who referred to Shakespeare as ""the gentle Shakespeare""?"	Robert Greene
"Who said ""I do not remember that any book or person or event in my life ever made so great an impression upon me as the plays of Shakespeare""?"	Goethe
"In which play does the Clown mention ""The flowery way that leads to the broad gate and the great fire""?"	All's Well That Ends Well
"Who says ""A young man married is a man that's marred"" about his friend Bertram?"	Parolles
"In which play does Antony say ""Let Rome in Tiber melt, and the wide arch Of the ranged Empire fall. Here is my space. Kingdoms are clay""?"	Antony and Cleopatra
"Who describes Cleopatra's barge as ""like a burnished throne, Burned on the water""?"	Enobarbus
"In which play is Cleopatra described as having ""infinite variety""?"	Antony and Cleopatra
"Who says ""I' the east my pleasure lies"" in Antony and Cleopatra?"	Antony
"In which play does Cleopatra ask for ""some more music, moody food of us that trade in love""?"	Antony and Cleopatra
"Who says ""He wears the rose Of youth upon him"" in Antony and Cleopatra?"	Antony
"Who speaks about ""The soul and body rive not more in parting Than greatness going off""?"	Charmian
"In which play does Antony compare clouds to various forms, including ""a dragonish"" and ""a bear or alion""?"	Antony and Cleopatra
"Who says ""Unarm, Eros; the long day's task I done And we must sleep""?"	Antony
"Who declares ""A Roman by a Roman Valiantly vanquished"" in Antony and Cleopatra?"	Antony
"Who says ""O! withered is the garland of the war, The soldier's pole is fall'n"" on the death of Antony?"	Cleopatra
"In which play does Eras say ""Finish, good lady; the bright day is done, And we are for the dark""?"	Antony and Cleopatra
"Who states ""I am fire and air; my other elements I give to baser life""?"	Cleopatra
"In which play does Cleopatra say ""Now boast thee, death, in thy possession lies A lass unparalleled""?"	Antony and Cleopatra
"Who speaks the lines ""Sweet are the uses of adversity, Which like the toad, ugly and venomous""?"	Duke Senior
"In which play does Jaques say ""I can suck melancholy out of a song as a weasel sucks eggs""?"	As You Like It
"Who mentions ""And so, from hour to hour, we ripe and ripe, And then from hour to hour, we rot and rot""?"	Jaques
"In which play does Jaques declare ""Motley's the only wear""?"	As You Like It
"Who says ""Men are April when they woo, December when They wed""?"	Rosalind
"In which play is the statement ""If it be true that ‘good wine needs no bush’, tis true that a good play needs no epilogue"" found?"	As You Like It
"Who asks ""What is the city but the people?""?"	Sicinius
"Who says ""You common cry of curs! Whose breath hate As reek o' the rotten fens""?"	Coriolanus
"In which play does Posthumous Leonatus say ""Hang there like fruit, my soul, Till the tree dies""?"	Cymbeline
"Who says ""And then it started like a guilty thing Upon a fearful summons""?"	Hamlet
"Who speaks the line ""A little more than a kin, and less than kind""?"	Hamlet
"In which play does Hamlet say ""Frailty, thy name is woman""?"	Hamlet
"Who says ""A truant disposition, good my lord""?"	Horatio
"Who says ""Costly the habit as thy purse can buy, But not expressed in fancy; rich, not gaudy; For the apparel oft proclaims the man""?"	Polonius
"In which play does Hamlet say ""There are more things in heaven and earth, Horatio, than are dreamt of in your philosophy""?"	Hamlet
"Who advises ""By indirections find directions out""?"	Polonius
"Who famously says ""Brevity is the soul of wit""?"	Polonius
"Who remarks ""Though this be madness, yet there is method in it"" aside to Hamlet?"	Polonius
"Who declares ""There is nothing either good or bad, but thinking makes it so""?"	Hamlet
"Who says ""But I am pigeon livered, and lack gall to make oppression bitter"" in a soliloquy?"	Hamlet
"Who speaks ""The play is the thing Wherein I shall catch the conscience of the king"" in a soliloquy?"	Hamlet
"Who describes Hamlet as ""The expectancy and rose of the fair state"" in a soliloquy?"	Ophelia
"Who refers to a ""king of shreds and patches""?"	Hamlet
"Who advises ""Assume a virtue, if you have it not""?"	Hamlet
"Who says ""I must be cruel only to be kind"" in Hamlet?"	Hamlet
"Who declares ""Rightly to be great Is not to stir without great argument, But greatly to find quarrel in a straw"" ina soliloquy?"	Hamlet
"Who observes ""When sorrows come, they come not single spies, But in battalions""?"	Claudius
"Who says ""And where the offence is let the great axe fall""?"	Claudius
"In which play does Hamlet say ""Imperious Caesar, dead, and turned to clay""?"	Hamlet
"Who says ""I am more an antique Roman than a Dane""?"	Horatio
What are Hamlet's last words before he dies?	The rest is silence.
"Who says ""Let four captains Bear Hamlet, like a soldier, to the stage; For he was likely, had he been put on, To have proved most royally""?"	Gravediggers
"Who says ""I had rather be a kitten and cry mew Than one of these same meter ballad-mongers""?"	Laertes
"Who says ""Doomsday is near; die all, die merrily"" in Henry IV Part 1?"	Hotspur
"Who states ""Greatness knows itself"" in Henry IV Part 1?"	Hotspur
"Who remarks ""Rebellion lay in his way, and he found it""?"	Falstaff
"Who says ""Thou owest God a death"" in Henry IV Part 1?"	Prince Henry
"In Henry IV Part 1, who questions ""What is honour? A word""?"	Falstaff
"Who states ""Two stars keep not their motion in one sphere""?"	Prince Henry
"In Henry IV Part 2, who is associated with the quote ""Rumour is a pipe Blown by surmises, jealousies, conjectures""?"	Prologue
"Who says ""Uneasy lies the head that wears a crown""?"	King Henry IV
"In Henry IV Part 2, who observes ""There is a history in all men's lives""?"	Warwick
"Who mentions ""By my troth, I care not; a man can die but once""?"	Feeble
"Who says ""Thy wish was father, Harry, to that thought""?"	King Henry IV
"In Henry IV Part 2, who says ""Falstaff shall die of sweat"" in the epilogue?"	Epilogue speaker
"Who wishes ""O! for a Muse of fire, that would ascend The brightest heaven of invention"" in Henry Vv?"	Prologue
"In Henry V, who says ""He's in Arthur's bosom, if ever man went to Arthur's bosom""?"	Hotspur
"Who describes someone with ""His nose was as sharp as a pen, and a' babbled of green fields"" in Henry Vv?"	Hotspur
"Who says ""Every subject's duty is the king's; but every subject's soul is his own""?"	King Henry
"In Henry V, who declares ""If we are marked to die, we are enough To do our country loss""?"	King Henry
"Who says ""She's beautiful and therefore to be wooed; She's a woman, therefore to be won""?"	Suffolk
"In Henry VI Part 2, who suggests ""The first thing we do, let's kill all the lawyers""?"	Dick the Butcher
"Who remarks ""O tiger's heart wrapped in woman's hide"" in Henry VI Part 3?"	York
"Who says ""Suspicion always haunts the guilty mind"" in Henry VI Part 3?"	Gloucester
"Who advises ""Heat not a furnace for your foe so hot That it do singe yourself"" in Henry VIII?"	Norfolk
"In Henry VIII, who says ""And when he falls, he falls like Lucifer, Never to hope again""?"	Gloucester
"Who tells King Henry ""Love thyself last: cherish those hearts that hate thee; Corruption wins not more than honesty"" in Henry VIII?"	Gloucester
"Who mentions ""Men's evil manners live in brass; their virtues We write in water"" in Henry VIII?"	Gloucester
"Who says ""But when I tell him he hates flatterers, He says he does, being then most flattered"" in Julius Caesar?"	Brutus
"In Julius Caesar, who says ""When beggars die, there are no comets seen; The heavens themselves blaze forth the death of princes""?"	Calpurnia
"Who declares ""Cowards die many times before their deaths; The valiant never taste of death but once"" in Julius Caesar?"	Caesar
"In Julius Caesar, who claims ""But I am constant as the northern star, Whose true-fixed and resting quality There is no fellow in the firmament""?"	Caesar
"Who states ""Ambition's debt is paid"" in Julius Caesar?"	Brutus
"Who tells the people of Rome ""As he was valiant, I honour him: but, as he was ambitious, I slew him"" in Julius Caesar?"	Brutus
"In Julius Caesar, who says ""Tear him for his bad verses, tear him for his bad verses""?"	IV Plebian
"Who laments ""O Julius Caesar! thou art mighty yet! Thy spirit walks abroad, and turns our swords In our own proper entrails"" in Julius Caesar?"	Brutus
"Who claims ""For I have neither wit, nor words, nor worth, Action, nor utterance, nor power of speech, To stir man's blood; I only speak right on"" in Julius Caesar?"	Antony
"In King John, who says ""Life is as tedious as a twice told tale, Vexing the dull ear of a drowsy man""?"	Lewis
"Who speaks the line ""Heaven take my soul, and England keep my bones"" before dying in King John?"	Arthur
"In King Lear, who says ""Nothing will come out nothing: speak again""?"	King Lear
"Who warns ""Do not come between the dragon and his wrath"" in King Lear?"	King Lear
"In King Lear, who says ""Ingratitude, thou marble hearted fiend, More hideous, when thou show'st thee inachild, Than the sea-monster""?"	King Lear
"Who says ""How sharper than a serpent's tooth it is To have a thankless child"" in King Lear?"	Lear
"Who declares ""I am a man more sinned against than sinning"" in King Lear?"	Lear
"Who remarks ""O! that way madness lies; let me shun that"" in King Lear?"	Lear
"In King Lear, who says ""I am tied to the stake, and I must stand the course""?"	Gloucester
"Who laments ""As flies to wanton boys, are we to the gods, They kill us for their sport"" in King Lear?"	Gloucester
"Who declares ""When we are born we cry that we are come To this great stage of fools"" in King Lear?"	Lear
"Who says ""Men must endure their going hence, even as their coming hither: Ripeness is all"" in King Lear?"	Edgar
"Who advises ""Speak what we feel, not what we ought to say"" in King Lear?"	Edgar
"In King Lear, who states ""The worst is not, so long as we can say, 'this is the worst""?"	Edgar
"Who remarks ""It is the stars, The stars above us, govern our conditions"" in King Lear?"	Kent
"In Love's Labour's Lost, who says ""From women's eyes this doctrine I derive: They are the ground, the books, the academes""?"	Biron
"Who repeats ""From women's eyes this doctrine I derive: They sparkle still the right Promethean fire"" in Love's Labour's Lost?"	Biron
"In Love's Labour's Lost, who says ""The words of Mercury are harsh after the songs of Apollo""?"	Willy Mischief
"Who states ""Present fears Are less than horrible imaginings"" in Macbeth?"	Macbeth
"In Macbeth, who declares ""Come what come may, Time and the hour runs through the roughest day""?"	Macbeth
"Who says ""There is no art To find the mind's construction in the face"" in Macbeth?"	Duncan
"Who advises ""Look like the innocent flower, But be the serpent under't"" in Macbeth?"	Lady Macbeth
"In Macbeth, who says ""Bloody instructions, which, being taught, returned To plague the inventor"" ina soliloquy?"	Macbeth
"Who states ""I have no spur To prick the sides of my intent, but only Vaulting ambition, which o'erleaps itself, And falls on the other"" in a soliloquy?"	Macbeth
"Who says ""Bring forth men-children only; For thy undaunted mettle should compose Nothing but males"" in Macbeth?"	Macbeth
"Who remarks ""False face must hide what the false heart doth know"" in Macbeth?"	Macbeth
"In Macbeth, who says ""There is husbandry in heaven; Their candles are all out""?"	Banquo
"Who speaks the line ""The bell invites me. Hear it not, Duncan; for it is a knell That summons thee to heaven or to hell"" in a soliloquy in Macbeth?"	Macbeth
"Who claims ""That which had made them drunk had made them bold"" in Macbeth?"	Lady Macbeth
"In Macbeth, who says ""The attempt and not the deed, confounds us""?"	Lady Macbeth
"Who asserts ""The sleeping and the deed Are but pictures; 'tis the eye of childhood That fears a painted devil"" in Macbeth?"	Lady Macbeth
"Who says ""Had I but died an hour before this chance, I had lived a blessed time"" in Macbeth?"	Macbeth
"Who observes ""Where we are, There's daggers in men's smiles: the near in blood, The nearer bloody"" in Macbeth?"	Donalbain
"Who says ""But now I am cabined, cribbed, confined, bound in Saucy doubts and fears"" in Macbeth?"	Macbeth
"In Macbeth, who says ""Now good digestion wait on appetite, And health on both""?"	Macbeth
"Who states ""His flight was madness: when our actions do not, Our fears to make us traitors"" in Macbeth?"	Lady Macbeth
"Who laments ""All the perfumes of Arabia will not sweeten this little hand"" in Macbeth?"	Lady Macbeth
"In Macbeth, who declares ""What is done cannot be undone""?"	Lady Macbeth
"Who says ""To-morrow, and to-morrow, and to- morrow, Creeps in this petty pace from day to day"" in a soliloquy in Macbeth?"	Macbeth
"Who states ""Our doubts are traitors And make us lose the good we oft might win By fearing to attempt"" in Measure For Measure?"	Lucio
"In Measure For Measure, who says ""We must not make a scarecrow of the law, Setting it up to fear the birds of prey""?"	Angelo
"Who observes ""O! it is excellent To have a giant's strength, but it is tyrannous To use it like a giant"" in Measure For Measure?"	Isabella
"In Measure For Measure, who claims ""Man, proud man, Dressed in a little brief authority, Most ignorant of what he's most assured""?"	Isabella
"Who says ""The miserable have no other medicine but only hope"" in Measure For Measure?"	Claudio
"Who observes ""There, at the moated grange, resides this dejected Mariana"" in Measure For Measure?"	Duke Vincentio
"In Measure For Measure, who says ""Music oft hath such a charm To make bad good, and good provoke to harm""?"	Duke Vincentio
"Who remarks ""Haste still pays haste, and leisure answer leisure: Like doth quit like, and Measure still for Measure"" in Measure For Measure?"	Duke Vincentio
"Who says ""The devil can cite Scriptures for his purpose"" in The Merchant of Venice?"	Antonio
"In The Merchant of Venice, who states ""It is a wise father that knows his own child""?"	Launcelot Gobbo
"Who says ""The court awards it, and the law doth give it"" in The Merchant of Venice?"	Portia
"Who says ""He is well paid that is well satisfied"" in The Merchant of Venice?"	Portia
"Who mentions ""I am never merry when I hear sweet music"" in The Merchant of Venice?"	Jessica
"In The Merchant of Venice, who says ""The man that had no music in himself. Nor is not moved with concord of sweet sounds""?"	Lorenzo
"Who states ""There is divinity in odd numbers, either in nativity, chance or death"" in The Merry Wives of Windsor?"	Falstaff
"Who declares ""The course of true love never did run smooth"" in A Midsummer Night's Dream?"	Lysander
"In A Midsummer Night's Dream, who says ""Cupid is a knavish lad, Thus to make poor females mad""?"	Robin
"Who says ""Jack shall have Jill; Nought shall go ill; The man shall have his mare again, And all shall be well"" in A Midsummer Night's Dream?"	Robin
"Who claims ""The lunatic, the lover, and the poet, Are of imagination all compact"" in A Midsummer Night's Dream?"	Theseus
"In A Midsummer Night's Dream, who says ""The lover, all as frantic, Doth glance from heaven to earth, from earth to heaven"" to Hippolyta?"	Theseus
"Who observes ""The poet's pen Turns them to shapes, and gives to airy nothing A local habitation and a name"" in A Midsummer Night's Dream?"	Theseus
"In A Midsummer Night's Dream, who says ""The best in this kind are but shadows, and the worst are no worse, if imagination amend them""?"	Theseus
"Who advises ""Speak low, if you speak love"" in Much Ado About Nothing?"	Don Pedro
"Who states ""Friendship is constant in all other things Save in the office and affairs of love"" in Much Ado About Nothing?"	Claudio
"In Much Ado About Nothing, who says ""Sigh no more, ladies, sigh no more, Men were deceivers ever""?"	Balthasar
"Who remarks ""Well, everyone can master a grief but he that has it"" in Much Ado About Nothing?"	Benedick
"In Much Ado About Nothing, who says ""Comparisons are odorous""?"	Dogberry
"Who advises ""Patch grief with proverbs"" in Measure For Measure?"	Leonato
"In Othello, who says ""Who steals my purse steals trash; 'tis something, nothing; 'Twas mine, 'tis his, and has been slave to thousands""?"	Iago
"Who warns ""O! beware, my lord, of jealousy; It is the green-eyed monster which doth mock The meat it feeds on"" in Othello?"	Iago
"Who says ""It is the very error of the moon; She comes more near the earth than she was wont, And makes men mad"" in Othello?"	Othello
"In Othello, who says ""Then, must you speak Of one that loved not wisely but too well""?"	Othello
"Who declares ""Of one whose hand, Like the base Indian, threw a pearl away Richer than all his tribe"" in Othello?"	Othello
"In Richard II, who says ""We were not born to sue, but to command""?"	King Richard II
"Who mentions ""Things sweet to taste prove in digestion sour"" in Richard II?"	John of Gaunt
"Who speaks ""This royal throne of kings, this sceptred isle, This earth of majesty"" in Richard II?"	John of Gaunt
"In Richard II, who says ""The caterpillars of the commonwealth, Which I have sworn to weed and pluck away""?"	Henry Bolingbroke
"Who mentions ""Eating the bitter bread of banishment"" in Richard II?"	Henry Bolingbroke
"In Richard II, who says ""I wasted time, and now doth time waste me""?"	Richard II
"Who declares ""Now is the winter of our discontent Made glorious summer by this son of York"" in Richard III?"	Richard III
"In Richard III, who says ""Deformed, unfinished, sent before my time Into this breathing world, scarce half made up""?"	Duke of Gloucester (Richard III)
"Who mentions ""No beast so fierce but knows some touch of pity"" in Richard III?"	Anne
"Who states ""True hope is swift, and flies with swallow's wings; Kings it makes gods, and meaner creatures kings"" in Richard III?"	Richmond
"In Richard III, who says ""The king's name is a tower of strength"" to Norfolk?"	Richard III
"Who remarks ""Conscience is but a word that cowards use, Devised at first to keep the strong in awe"" in Richard III?"	Richard III
"In Romeo and Juliet, who refers to ""A pair of star- crossed lovers""?"	Chorus
"Who says ""The two hours ' traffick of our stage"" in the Prologue of Romeo and Juliet?"	Chorus
"Who says ""What's in a name? That which we call a rose By any other name would smell as sweet"" in Romeo and Juliet?"	Juliet
"Who states ""Love goes toward love, as schoolboys from their books; But love from love, toward school with heavy looks"" in Romeo and Juliet?"	Romeo
"In Romeo and Juliet, who says ""Adversity's sweet milk, philosophy""?"	Friar Lawrence
"Who declares ""A woman moved is like a fountain troubled, Muddy, ill-seeming, thick, bereft of beauty"" in The Taming of the Shrew?"	Katherine
"In The Tempest, who says ""My library Was dukedom large enough""?"	Prospero
"Who states ""What's past is prologue"" in The Tempest?"	Antonio
"Who remarks ""Misery acquaints a man with strange bedfellows"" in The Tempest?"	Trinculo
"In The Tempest, who says ""Thought is free""?"	Stephano
"Who states ""He that lies pays all debts"" in The Tempest?"	Stephano
"In The Tempest, who says ""How beauteous mankind is! O brave new world, That has such people in't""?"	Miranda
"Who mentions ""Men shut their doors against a setting sun"" in Timon of Athens?"	Apemantus
"In Titus Andronicus, who says ""She is a woman, therefore may be wooed; She is Lavania, therefore must be loved""?"	Demetrius
"Who states ""Things won are done; joy's soul lies in the doing"" in Troilus and Cressida?"	Cressida
"In Troilus and Cressida, who says ""To be wise, and love, Exceeds man's might""?"	Cressida
"Who mentions ""Time hath, my lord, a wallet at his back, Wherein he puts alms for oblivion"" in Troilus and Cressida?"	Ulysses
"In Troilus and Cressida, who says ""One touch of nature makes the whole world kin""?"	Ulysses
"Who declares ""The end crowns all, And that old common arbitrator, Time, Will one day end it"" in Troilus and Cressida?"	Hector
"In Twelfth Night, who says ""Many a good hanging prevents a bad marriage""?"	Feste
"Who remarks ""Dost thou think, because thou art virtuous, there shall be no more cakes and ale"" in Twelfth Night?"	Sir Toby Belch
"In Twelfth Night, who says ""But be not afraid of greatness: Some men are born great, some achieve greatness, and some have greatness thrust upon them""?"	Malvolio
"Who states ""Love sought is good, but giv'n unsought is better"" in Twelfth Night?"	Viola
"In Twelfth Night, who says ""Why, this is very midsummer madness""?"	Olivia
"Who states ""Is she kind as she is fair? For beauty lives with kindness"" in The Two Gentlemen of Verona?"	Musician
"In The Winter's Tale, who says ""The queen of cards and cream""?"	Camillo
"Who mentions ""Though I am not naturally honest, I am so sometimes by chance"" in The Winter's Tale?"	Autolycus
Where was John Milton born?	Brad Street, Cheapside
What profession did John Milton's father have?	Money-scrivener
Where was John Milton educated as a child?	Saint Paul's School
What nickname did John Milton acquire at Christ's College, Cambridge?	The Lady of Christ's College
In what year did Milton become a BA?	1629
What poem did Milton write to thank his father?	Ad Patrem
Where did Milton move to continue his studies after leaving Cambridge?	Horton
Who taught Milton Greek, Latin, Italian, and Hebrew at home?	Thomas Young
Where did Milton travel during 1638-39?	Italy and France
Who did Milton meet in Paris?	Hugo Grotius
Whom did Milton marry in July 1642?	Mary Powell
How old was Mary Powell when she married Milton?	17
What controversial topic did Milton write pamphlets about?	Divorce
When was Milton's first daughter born?	1646
When was Milton appointed Latin Commonwealth Government Secretary?	1649
Who assisted Milton in his official duties after he became blind?	G R Weckherlin, Philip Meadows, and Andrew Marvell
"What did Milton say about his appetite for knowledge in ""Second Defence of the English People""?"	He hardly ever left his studies, or went to bed before midnight
"How did Milton compare himself in ""Second Defence""?"	"To ""those wise and ancient bards"""
When did Milton's first wife die?	1652
Who was Milton's second wife?	Catherine Woodcock
What year did Milton marry his third wife, Elizabeth Minshull?	1663
Who assisted Milton in his release after the Restoration?	Sir William D'Avenant and Andrew Marvell
Where did Milton spend his remaining years to avoid the plague?	Burnhill Row
How did Milton die?	From ‘gout struck in'
Where was Milton buried?	St. Giles', Cripplegate
Who was Milton's father's occupation?	Money-scrivener and composer of music
Who was Milton's childhood friend?	Charles Diodati
What was the nickname given to Milton at Christ's College?	The Lady of Christ's College
What subject did Milton primarily write his early poetry in?	Latin
Which poem did Milton write to thank his father?	Ad Patrem
What village did Milton move to for further study?	Horton
Who educated Milton at home in Greek, Latin, Italian, and Hebrew?	Thomas Young
During his travels abroad, whom did Milton meet in Paris?	Hugo Grotius
In what year did Milton marry Mary Powell?	1642
How old was Mary Powell when she married Milton?	17
What year was Milton's first daughter born?	1646
What was Milton appointed in 1649?	Latin Commonwealth Government Secretary
Who were Milton's assistants after he became blind?	G R Weckherlin, Philip Meadows, and Andrew Marvell
How did Milton describe his appetite for knowledge?	Voracious
When did Milton's first wife die?	1652
During which period of his life did Milton write the majority of his prose works?	1642-1660
When did Milton start pamphleteering?	1641
With whom did Milton engage in a controversy over Episcopacy in 1641?	Bishop Joseph Hall
How many anti-prelatical pamphlets did Milton write in 1641?	Five
What was the primary target of Milton's anti- prelatical tracts?	Episcopacy
"What wars are known as the starting point of the ""Wars of Three Kingdoms""?"	Bishops' Wars
"In what years did the ""Wars of Three Kingdoms"" take place?"	1639-1651
Which king's execution marked a significant event during the British Civil Wars?	Charles I
What was Charles I's attempt to impose between the Church of Scotland and the Church of England?	Episcopal system
Who influenced Charles I's preference for the Episcopal system?	William Laud
What is the main feature of the Episcopal system?	Hierarchical system with bishops
Who wanted the Presbyterian system to govern the Church?	The Scots
What petition was presented to the Long Parliament in 1640 to abolish Episcopacy?	Root and Branch Petition
How many Londoners signed the Root and Branch Petition?	15000
What was the other name for the House of Commons?	The Lower House
Which act became effective in 1642 to address the Episcopal controversy?	Bishop Execution Act
Who led the royalist Pro-Episcopal Movement?	Bishop Joseph Hall
What pamphlet did Joseph Hall publish in 1641 supporting the Church hierarchy?	An Humble Remonstrance to the High Court of Parliament
What group of five puritan clergymen opposed Joseph Hall's pamphlet?	Symectymnuus
What was the acronym Symectymnuus formed from?	Names of five authors
In what year did Milton publish his anti-prelatical tracts?	1641-1642
"Who was one of the authors of ""An Humble Remonstrance""?"	William Spurstaw
What was the primary argument of Milton's anti- prelatical tracts?	Defense of radical religious and political dissent
What was the aim of the Root and Branch Petition?	To abolish episcopacy from root and branches
How did the House of Commons react to the Root and Branch Petition?	They hesitated to act on it
When was William Laud removed from his position?	1640
Who led the anti-episcopal movement?	Puritan clergymen
